0,	0,	3.04,	0,	0,	0,	0,	0,	0,	1000,	1000,	-1000
3.04,	0,	3.04,	0,	0,	0,	0,	0,	0,	0,	0,	0
3.04,	3.04,	3.04,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	3.04,	3.04,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	0,	1.52,	0,	0,	0,	0,	0,	0,	0,	0,	0
3.04,	0,	1.52,	0,	0,	0,	0,	0,	0,	0,	0,	0
3.04,	3.04,	1.52,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	3.04,	1.52,	0,	0,	0,	0,	0,	0,	0,	0,	0
0,	0,	0,	0,	0,	0,	99461,	99461,	99461,	0,	0,	0
3.04,	0,	0,	1,	1,	1,	0,	0,	0,	0,	0,	0
3.04,	3.04,	0,	1,	1,	1,	0,	0,	0,	0,	0,	0
0,	3.04,	0,	1,	1,	1,	0,	0,	0,	0,	0,	0
